review_scores_value,accommodates,bathrooms,bedrooms,beds,cancellation_policy,id,host_is_superhost,extra_people,property_type,room_type,price,neighbourhood_cleansed
10.0,2,1.0,1.0,1.0,flexible,8105221,0.0,0.0,Townhouse,Private room,80.0,West Queen Anne
10.0,2,1.0,0.0,1.0,moderate,3269390,1.0,0.0,House,Entire home/apt,95.0,West Queen Anne
,4,2.5,3.0,3.0,moderate,4566393,0.0,20.0,House,Entire home/apt,400.0,West Queen Anne
10.0,2,2.0,1.0,1.0,moderate,9282409,0.0,0.0,House,Private room,85.0,West Queen Anne
10.0,2,1.0,1.0,1.0,flexible,8095168,0.0,0.0,Apartment,Private room,70.0,West Queen Anne
10.0,2,1.0,0.0,1.0,strict,2746782,1.0,0.0,Apartment,Entire home/apt,90.0,West Queen Anne
9.0,2,1.0,1.0,1.0,flexible,6424982,0.0,15.0,House,Private room,80.0,West Queen Anne
10.0,2,1.0,1.0,2.0,strict,762029,1.0,0.0,Camper/RV,Private room,60.0,West Queen Anne
,4,1.0,2.0,2.0,moderate,8988281,0.0,50.0,House,Entire home/apt,175.0,West Queen Anne
9.0,6,2.5,3.0,4.0,strict,7077910,0.0,100.0,House,Entire home/apt,170.0,Adams
10.0,2,1.0,1.0,1.0,moderate,3772674,0.0,20.0,Apartment,Entire home/apt,85.0,Adams
9.0,12,3.5,5.0,7.0,strict,7021906,1.0,0.0,House,Entire home/apt,465.0,Adams
9.0,2,1.0,1.0,1.0,flexible,7618605,0.0,0.0,Apartment,Entire home/apt,175.0,Adams
,2,1.0,1.0,1.0,flexible,10234558,0.0,0.0,Condominium,Private room,50.0,Adams
,2,1.0,1.0,1.0,flexible,7021702,0.0,0.0,Apartment,Private room,60.0,Adams
10.0,2,1.0,1.0,1.0,flexible,7680439,0.0,0.0,House,Private room,59.0,Adams
8.0,4,1.0,1.0,4.0,strict,4258515,0.0,10.0,Apartment,Private room,47.0,Adams
9.0,4,1.0,2.0,2.0,moderate,1148517,0.0,30.0,House,Entire home/apt,145.0,Adams
10.0,2,1.0,1.0,1.0,flexible,2487892,0.0,0.0,House,Private room,70.0,Adams
10.0,2,1.0,1.0,1.0,moderate,3038772,0.0,10.0,House,Private room,55.0,Adams
10.0,4,1.0,1.0,2.0,moderate,699460,1.0,35.0,House,Private room,95.0,Adams
8.0,2,1.0,1.0,1.0,flexible,4085439,0.0,0.0,House,Private room,125.0,Adams
10.0,2,1.0,1.0,1.0,moderate,8053990,0.0,0.0,House,Private room,65.0,Adams
,1,1.0,1.0,1.0,flexible,7011773,0.0,0.0,House,Private room,25.0,Adams
,4,1.0,0.0,2.0,strict,2467550,0.0,10.0,House,Entire home/apt,40.0,Adams
9.0,6,1.0,3.0,4.0,moderate,2686374,0.0,20.0,House,Entire home/apt,149.0,Adams
10.0,2,1.5,1.0,1.0,strict,1956274,1.0,0.0,Apartment,Entire home/apt,125.0,Adams
,2,0.5,1.0,1.0,flexible,8537192,0.0,0.0,House,Private room,55.0,Adams
